muni,muniLabel,district,districtLabel,properties,object,population
http://www.wikidata.org/entity/Q72,Zürich,http://www.wikidata.org/entity/Q660732,Zurich District,171,2488,415682
http://www.wikidata.org/entity/Q9125,Winterthur,http://www.wikidata.org/entity/Q644300,Winterthur District,138,705,109775
http://www.wikidata.org/entity/Q68286,Horgen,http://www.wikidata.org/entity/Q660579,Horgen District,105,308,22476
http://www.wikidata.org/entity/Q64032,Uster,http://www.wikidata.org/entity/Q262156,Uster District,92,450,34442
http://www.wikidata.org/entity/Q69718,Wädenswil,http://www.wikidata.org/entity/Q660579,Horgen District,85,264,21716
http://www.wikidata.org/entity/Q9093,Bülach,http://www.wikidata.org/entity/Q680996,Bülach District,85,232,20046
http://www.wikidata.org/entity/Q69216,Küsnacht,http://www.wikidata.org/entity/Q656714,Meilen District,83,314,14250
http://www.wikidata.org/entity/Q66633,Kilchberg,http://www.wikidata.org/entity/Q660579,Horgen District,82,132,8437
http://www.wikidata.org/entity/Q68959,Thalwil,http://www.wikidata.org/entity/Q660579,Horgen District,80,238,17784
http://www.wikidata.org/entity/Q64082,Dübendorf,http://www.wikidata.org/entity/Q262156,Uster District,80,444,28002
http://www.wikidata.org/entity/Q68227,Richterswil,http://www.wikidata.org/entity/Q660579,Horgen District,79,264,13407
http://www.wikidata.org/entity/Q69203,Erlenbach,http://www.wikidata.org/entity/Q656714,Meilen District,79,122,5567
http://www.wikidata.org/entity/Q69383,Hinwil,http://www.wikidata.org/entity/Q660382,Hinwil District,79,252,11179
http://www.wikidata.org/entity/Q68210,Adliswil,http://www.wikidata.org/entity/Q660579,Horgen District,78,270,18731
http://www.wikidata.org/entity/Q68261,Meilen,http://www.wikidata.org/entity/Q656714,Meilen District,78,276,13958
http://www.wikidata.org/entity/Q68305,Wetzikon,http://www.wikidata.org/entity/Q660382,Hinwil District,78,262,24452
http://www.wikidata.org/entity/Q69774,Stäfa,http://www.wikidata.org/entity/Q656714,Meilen District,76,272,14389
http://www.wikidata.org/entity/Q64627,Männedorf,http://www.wikidata.org/entity/Q656714,Meilen District,76,288,10913
http://www.wikidata.org/entity/Q64882,Greifensee,http://www.wikidata.org/entity/Q262156,Uster District,76,104,5345
http://www.wikidata.org/entity/Q65528,Oberrieden,http://www.wikidata.org/entity/Q660579,Horgen District,76,99,5071
http://www.wikidata.org/entity/Q68165,Kloten,http://www.wikidata.org/entity/Q680996,Bülach District,75,230,19362
http://www.wikidata.org/entity/Q66819,Rüschlikon,http://www.wikidata.org/entity/Q660579,Horgen District,75,159,5830
http://www.wikidata.org/entity/Q68290,Affoltern am Albis,http://www.wikidata.org/entity/Q656635,Affoltern District,75,230,12080
http://www.wikidata.org/entity/Q69148,Schlieren,http://www.wikidata.org/entity/Q180792,Dietikon District,74,254,18666
http://www.wikidata.org/entity/Q69754,Volketswil,http://www.wikidata.org/entity/Q262156,Uster District,74,272,18615
http://www.wikidata.org/entity/Q69175,Eglisau,http://www.wikidata.org/entity/Q680996,Bülach District,73,106,5170
http://www.wikidata.org/entity/Q69188,Hombrechtikon,http://www.wikidata.org/entity/Q656714,Meilen District,73,138,8595
http://www.wikidata.org/entity/Q64205,Regensdorf,http://www.wikidata.org/entity/Q660407,Dielsdorf district,73,232,18253
http://www.wikidata.org/entity/Q65347,Langnau am Albis,http://www.wikidata.org/entity/Q660579,Horgen District,73,118,7500
http://www.wikidata.org/entity/Q67272,Wald,http://www.wikidata.org/entity/Q660382,Hinwil District,72,89,9758
http://www.wikidata.org/entity/Q68269,Pfäffikon,http://www.wikidata.org/entity/Q660395,Pfäffikon District,72,220,11817
http://www.wikidata.org/entity/Q69752,Rüti,http://www.wikidata.org/entity/Q660382,Hinwil District,72,206,12098
http://www.wikidata.org/entity/Q66338,Hirzel,http://www.wikidata.org/entity/Q660579,Horgen District,71,303,2158
http://www.wikidata.org/entity/Q66898,Zumikon,http://www.wikidata.org/entity/Q656714,Meilen District,71,110,5120
http://www.wikidata.org/entity/Q67137,Elgg,http://www.wikidata.org/entity/Q644300,Winterthur District,71,96,
http://www.wikidata.org/entity/Q67882,Wasterkingen,http://www.wikidata.org/entity/Q680996,Bülach District,71,90,574
http://www.wikidata.org/entity/Q69374,Wallisellen,http://www.wikidata.org/entity/Q680996,Bülach District,71,186,15855
http://www.wikidata.org/entity/Q64224,Opfikon,http://www.wikidata.org/entity/Q680996,Bülach District,71,196,19864
http://www.wikidata.org/entity/Q64873,Illnau-Effretikon,http://www.wikidata.org/entity/Q660395,Pfäffikon District,70,250,16928
http://www.wikidata.org/entity/Q67058,Uetikon am See,http://www.wikidata.org/entity/Q656714,Meilen District,69,123,6145
http://www.wikidata.org/entity/Q67145,Bauma,http://www.wikidata.org/entity/Q660395,Pfäffikon District,69,95,4925
http://www.wikidata.org/entity/Q67354,Oetwil am See,http://www.wikidata.org/entity/Q656714,Meilen District,69,111,4754
http://www.wikidata.org/entity/Q64857,Maur,http://www.wikidata.org/entity/Q262156,Uster District,69,113,10148
http://www.wikidata.org/entity/Q64869,Fällanden,http://www.wikidata.org/entity/Q262156,Uster District,69,91,8575
http://www.wikidata.org/entity/Q66283,Feuerthalen,http://www.wikidata.org/entity/Q660721,Andelfingen District,68,83,3636
http://www.wikidata.org/entity/Q65858,Turbenthal,http://www.wikidata.org/entity/Q644300,Winterthur District,68,115,4748
http://www.wikidata.org/entity/Q66328,Knonau,http://www.wikidata.org/entity/Q656635,Affoltern District,68,97,2301
http://www.wikidata.org/entity/Q67513,Ottenbach,http://www.wikidata.org/entity/Q656635,Affoltern District,68,87,2556
http://www.wikidata.org/entity/Q69734,Bassersdorf,http://www.wikidata.org/entity/Q680996,Bülach District,68,174,11593
http://www.wikidata.org/entity/Q70367,Flaach,http://www.wikidata.org/entity/Q660721,Andelfingen District,68,79,1375
http://www.wikidata.org/entity/Q69109,Urdorf,http://www.wikidata.org/entity/Q180792,Dietikon District,68,234,9768
http://www.wikidata.org/entity/Q64589,Kappel am Albis,http://www.wikidata.org/entity/Q656635,Affoltern District,68,102,1124
http://www.wikidata.org/entity/Q64877,Egg,http://www.wikidata.org/entity/Q262156,Uster District,68,121,8442
http://www.wikidata.org/entity/Q65781,Berg am Irchel,http://www.wikidata.org/entity/Q660721,Andelfingen District,67,81,562
http://www.wikidata.org/entity/Q67068,Bubikon,http://www.wikidata.org/entity/Q660382,Hinwil District,67,122,7194
http://www.wikidata.org/entity/Q67120,Grüningen,http://www.wikidata.org/entity/Q660382,Hinwil District,67,106,3361
http://www.wikidata.org/entity/Q70088,Weiach,http://www.wikidata.org/entity/Q660407,Dielsdorf district,67,91,1750
http://www.wikidata.org/entity/Q69224,Herrliberg,http://www.wikidata.org/entity/Q656714,Meilen District,67,115,6290
http://www.wikidata.org/entity/Q65040,Neftenbach,http://www.wikidata.org/entity/Q644300,Winterthur District,67,83,5533
http://www.wikidata.org/entity/Q65282,Birmensdorf,http://www.wikidata.org/entity/Q180792,Dietikon District,67,124,6385
http://www.wikidata.org/entity/Q66336,Laufen-Uhwiesen,http://www.wikidata.org/entity/Q660721,Andelfingen District,66,88,1669
http://www.wikidata.org/entity/Q65934,Wettswil am Albis,http://www.wikidata.org/entity/Q656635,Affoltern District,66,92,5097
http://www.wikidata.org/entity/Q65942,Obfelden,http://www.wikidata.org/entity/Q656635,Affoltern District,66,98,5340
http://www.wikidata.org/entity/Q66747,Mönchaltorf,http://www.wikidata.org/entity/Q262156,Uster District,66,105,3715
http://www.wikidata.org/entity/Q66814,Schwerzenbach,http://www.wikidata.org/entity/Q262156,Uster District,66,93,5088
http://www.wikidata.org/entity/Q64853,Wiesendangen,http://www.wikidata.org/entity/Q644300,Winterthur District,66,81,6355
http://www.wikidata.org/entity/Q65231,Hausen am Albis,http://www.wikidata.org/entity/Q656635,Affoltern District,66,106,3646
http://www.wikidata.org/entity/Q65547,Mettmenstetten,http://www.wikidata.org/entity/Q656635,Affoltern District,65,81,4865
http://www.wikidata.org/entity/Q65805,Seuzach,http://www.wikidata.org/entity/Q644300,Winterthur District,65,90,7291
